Fib2424hr5R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib2724hr10R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib3424hr15R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib4124hr20R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib24bsl1R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib27bsl6R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib34bsl11R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam	Fib41bsl16R1001trimmedNoAbundant.fastq.gzAligned.sortedByCoord.out.bam
ENSG00000092421	4	0	8	5	5	0	1	3
ENSG00000169570	67	94	120	89	63	114	43	54
ENSG00000172869	241	362	574	259	376	412	146	201
ENSG00000145779	65	83	109	59	37	67	12	41
ENSG00000133835	1062	1223	1750	1530	1366	1450	491	1108
ENSG00000164334	0	0	0	0	0	0	0	0
ENSG00000184838	67	112	103	54	86	158	30	29
ENSG00000181867	0	0	0	0	0	1	0	0
ENSG00000151304	337	430	521	294	372	597	129	204
ENSG00000113083	22319	26813	40164	29172	28189	30025	9471	19670
ENSG00000164185	0	0	1	1	1	2	0	0
ENSG00000250803	0	0	0	0	1	0	0	0
ENSG00000064692	16	1	14	1	10	1	0	1
ENSG00000205302	926	1410	1989	1321	1108	1322	457	884
ENSG00000064652	192	272	279	156	137	271	37	83
ENSG00000168938	1718	4118	5349	2436	2754	3165	1061	1653
ENSG00000061455	13	21	30	8	19	15	2	9
ENSG00000168944	187	327	422	175	224	300	80	93
ENSG00000151292	381	578	730	400	519	557	151	240
ENSG00000168916	5	9	16	12	14	11	7	5
ENSG00000155324	556	403	779	749	1428	1205	508	958
ENSG00000164904	242	336	481	299	439	426	153	225
ENSG00000164902	656	1008	1166	644	753	956	277	397
ENSG00000196900	0	0	0	0	0	0	0	0
ENSG00000113368	25	19	63	31	60	43	22	50
ENSG00000173926	216	180	232	228	303	134	90	267
ENSG00000164241	10	40	39	22	12	33	14	13
ENSG00000145794	1	1	0	1	0	0	1	0
ENSG00000164244	1240	1448	1929	1701	1170	1383	413	926
ENSG00000205279	0	0	0	0	0	0	0	0
ENSG00000230561	0	0	0	0	0	0	0	0
ENSG00000064651	451	478	753	526	672	708	211	430
ENSG00000138829	0	59	191	47	13	89	62	33
ENSG00000113396	0	0	3	0	0	0	0	0
ENSG00000066583	72	144	245	108	133	97	52	81
ENSG00000145808	1	0	5	1	0	1	5	1
ENSG00000186367	0	0	0	0	0	0	0	0
ENSG00000198108	158	187	335	233	95	147	40	146
ENSG00000169567	1570	2166	3451	2126	2391	2181	795	1696
ENSG00000186687	122	121	163	80	87	157	26	52
ENSG00000158985	91	176	175	59	88	134	29	53
ENSG00000158987	244	326	385	267	309	361	78	149
ENSG00000273217	275	417	493	377	391	411	88	201
ENSG00000217128	702	1141	1457	1073	943	1171	291	614
ENSG00000239642	0	0	0	0	0	0	0	0
ENSG00000281938	0	0	1	0	0	0	0	0
ENSG00000164398	0	0	1	0	0	0	0	0
ENSG00000164399	0	0	0	0	0	0	0	0
ENSG00000164400	0	0	0	7	4	0	1	3
ENSG00000072682	6116	13800	15235	8019	8321	11266	2909	5469
ENSG00000131435	709	1638	1847	1033	1097	1409	268	747
ENSG00000197208	55	75	152	154	80	82	30	121
ENSG00000197375	102	234	123	108	192	239	47	91
ENSG00000197536	3	14	11	5	4	8	3	6
ENSG00000125347	77	235	361	88	155	319	97	68
ENSG00000113525	0	0	0	0	0	0	0	0
ENSG00000113522	792	1062	1735	906	1210	1225	386	669
ENSG00000169194	0	0	0	0	0	0	0	0
ENSG00000113520	0	0	0	3	0	0	0	0
ENSG00000131437	448	645	804	472	550	649	168	230
ENSG00000205089	1	0	0	0	0	0	0	0
ENSG00000164402	278	267	506	246	363	193	109	237
ENSG00000198944	0	0	0	0	0	0	0	0
ENSG00000164403	22	19	37	22	30	14	9	30
ENSG00000164404	1	0	1	0	0	0	0	0
ENSG00000164405	1625	2573	2752	2139	2019	2415	753	1351
ENSG00000164406	0	0	0	0	0	0	0	0
ENSG00000072364	2221	2637	3455	2068	2296	2820	655	1242
ENSG00000155329	139	246	231	145	182	205	39	88
ENSG00000170606	2997	4631	6046	3904	4720	5667	1669	3266
ENSG00000053108	0	0	0	0	0	0	0	0
ENSG00000113583	957	1256	1361	937	912	1241	318	681
ENSG00000213585	870	1767	2121	2021	1428	1590	653	1067
ENSG00000081059	5	8	10	0	0	3	0	1
ENSG00000113558	3452	4294	5237	4106	3408	4572	1338	2722
ENSG00000272772	1901	2559	3058	2717	1901	2511	803	1588
ENSG00000113575	1529	2312	2797	1766	1961	2169	774	1335
ENSG00000006837	28	79	53	35	40	78	14	19
ENSG00000119048	950	1326	1713	829	780	1322	336	493
ENSG00000237190	34	42	71	38	54	46	29	28
ENSG00000043143	29	64	87	57	189	128	67	101
ENSG00000152700	1128	1986	2500	1773	1198	1581	529	1026
ENSG00000113615	1164	1212	1917	1325	1023	1286	381	713
ENSG00000164615	392	359	573	332	369	466	139	263
ENSG00000145833	447	849	1152	697	821	958	218	451
ENSG00000181904	294	324	452	313	284	376	105	183
ENSG00000113621	523	587	993	911	709	713	241	761
ENSG00000132570	46	88	69	51	47	74	17	22
ENSG00000152705	4	2	1	1	3	0	0	3
ENSG00000069011	0	0	2	0	0	0	0	0
ENSG00000113648	1009	1607	1779	1451	1501	1479	502	1065
ENSG00000251380	0	0	0	0	0	0	0	0
ENSG00000255833	0	0	0	0	0	0	0	0
ENSG00000181965	0	0	0	0	0	0	0	0
ENSG00000145824	7	8	4	10	3	1	2	11
ENSG00000250378	0	0	0	0	0	0	0	0
ENSG00000145832	0	0	0	0	0	0	0	0
ENSG00000145839	0	0	0	0	0	0	0	0
ENSG00000145826	0	0	0	0	0	0	0	0
ENSG00000120708	11463	12407	26640	44975	5148	8229	2591	11410
ENSG00000113658	368	563	666	374	473	542	130	231
ENSG00000271824	0	0	0	0	0	0	0	0
ENSG00000069018	0	0	0	0	0	0	0	0
ENSG00000152377	3768	8378	10423	4265	5064	7220	2363	2759
ENSG00000146021	2	8	6	8	6	5	4	8
ENSG00000177733	1215	2116	2909	1303	2424	2170	691	1310
ENSG00000120729	0	0	0	0	0	0	0	0
ENSG00000078795	0	0	0	0	0	0	0	1
ENSG00000031003	330	359	418	279	384	417	113	172
ENSG00000061492	0	0	0	0	0	0	0	0
ENSG00000112981	30	37	84	30	24	47	22	22
ENSG00000112983	317	510	621	405	432	503	152	273
ENSG00000112984	0	2	0	4	3	1	9	4
ENSG00000094880	553	922	1148	570	733	852	242	393
ENSG00000146013	0	0	1	0	0	0	0	0
ENSG00000158402	2	5	5	1	3	2	0	2
ENSG00000120709	278	455	385	289	393	422	136	237
ENSG00000120733	443	640	804	535	737	782	228	453
ENSG00000132563	22	47	42	19	32	27	12	9
ENSG00000120738	677	733	1267	691	1202	1387	617	670
ENSG00000120705	1028	1626	1974	1132	1355	1671	491	833
ENSG00000113013	4660	8794	11802	4793	5273	7383	2239	3239
ENSG00000044115	5019	7584	10899	6235	7745	8434	2731	5182
ENSG00000146006	0	0	0	1	0	0	0	0
ENSG00000120725	1162	1613	2086	1858	1615	1833	500	1757
ENSG00000280987	2894	4304	5674	3741	4406	4857	1471	2581
ENSG00000015479	2882	4298	5654	3736	4395	4844	1475	2576
ENSG00000120727	964	2049	2184	1370	1494	1773	489	722
ENSG00000170482	0	0	0	0	0	0	0	0
ENSG00000170476	0	0	0	0	0	0	0	0
ENSG00000228672	1	1	1	0	0	1	0	1
ENSG00000170469	35	74	83	21	68	37	21	25
ENSG00000170464	178	283	358	134	214	305	75	96
ENSG00000279686	0	0	1	0	1	0	0	0
ENSG00000249751	0	0	1	0	1	0	0	0
ENSG00000283288	0	0	0	0	0	0	0	0
ENSG00000184584	125	66	163	176	231	135	76	286
ENSG00000131508	621	759	1016	523	644	815	215	332
ENSG00000171604	346	560	523	208	366	461	79	127
ENSG00000146005	1	0	11	2	10	1	1	7
ENSG00000158458	2	1	1	3	3	2	0	1
ENSG00000185129	164	345	438	316	358	304	119	271
ENSG00000182700	0	0	0	0	0	1	0	0
ENSG00000120306	354	458	615	454	612	500	213	570
ENSG00000113068	355	443	510	290	244	476	108	162
ENSG00000281227	0	0	0	0	0	0	0	0
ENSG00000113070	67	73	106	124	59	28	19	70
ENSG00000113073	3	0	0	0	0	0	0	1
ENSG00000131503	601	804	1085	656	918	1043	300	557
ENSG00000254996	606	827	1108	666	949	1094	311	569
ENSG00000213523	596	938	1163	667	631	729	182	365
ENSG00000243056	16	35	35	18	46	79	13	15
ENSG00000113108	93	168	101	41	71	177	14	26
ENSG00000176087	158	287	354	187	232	287	110	178
ENSG00000170458	588	2264	1459	467	1307	3012	669	474
ENSG00000131495	993	2217	1613	1216	1414	2061	502	887
ENSG00000113119	33	45	29	25	41	78	17	8
ENSG00000113141	501	966	1031	817	808	779	303	623
ENSG00000120314	196	372	456	294	284	293	111	226
ENSG00000256453	0	0	0	0	0	0	0	0
ENSG00000170445	869	1440	1992	1262	1256	1332	463	920
ENSG00000112855	147	235	287	237	211	211	60	160
ENSG00000146007	857	1675	1799	1298	1170	1369	389	807
ENSG00000204970	12	87	53	19	19	130	21	20
ENSG00000204969	12	86	57	39	23	130	25	30
ENSG00000255408	14	111	72	53	22	166	24	53
ENSG00000204967	15	105	70	27	25	162	29	28
ENSG00000204965	14	87	57	20	20	128	23	20
ENSG00000081842	13	104	75	23	22	145	28	21
ENSG00000204963	13	89	56	18	23	130	22	22
ENSG00000204962	15	86	51	17	19	130	21	20
ENSG00000204961	12	86	51	17	19	129	21	20
ENSG00000250120	41	286	84	41	44	321	27	44
ENSG00000249158	14	87	56	23	27	128	24	24
ENSG00000251664	18	185	107	33	37	213	44	27
ENSG00000239389	12	87	53	17	20	128	23	20
ENSG00000248383	12	86	53	17	19	129	22	20
ENSG00000243232	13	110	61	17	24	155	25	24
ENSG00000171815	0	0	0	0	0	0	0	0
ENSG00000112852	18	258	224	79	17	306	61	62
ENSG00000113205	7	30	78	13	2	45	23	10
ENSG00000081818	8	1	17	1	15	0	1	2
ENSG00000113209	2	1	69	1	8	4	5	4
ENSG00000113211	4	0	8	6	1	7	2	1
ENSG00000113212	7	11	15	37	28	27	12	19
ENSG00000120322	26	16	16	15	27	24	4	13
ENSG00000272674	15	12	77	11	12	18	22	16
ENSG00000279068	0	1	3	0	2	0	2	2
ENSG00000177839	12	6	5	2	13	9	3	5
ENSG00000120324	5	8	8	5	16	27	3	4
ENSG00000197479	13	26	23	28	23	31	5	25
ENSG00000120328	14	7	21	9	33	10	4	3
ENSG00000187372	83	96	139	74	141	123	22	53
ENSG00000120327	24	35	63	40	64	63	24	37
ENSG00000279983	1	0	4	3	1	3	0	0
ENSG00000113248	21	28	89	19	47	30	29	19
ENSG00000178913	1662	1916	2221	1657	1767	2317	588	1149
ENSG00000120329	0	0	1	0	0	0	1	0
ENSG00000204956	323	364	465	332	515	678	171	410
ENSG00000081853	410	570	592	398	701	926	226	464
ENSG00000254245	317	332	534	348	514	631	184	426
ENSG00000254221	334	428	506	343	576	757	209	436
ENSG00000262576	612	683	1071	779	1064	1141	352	860
ENSG00000253910	336	492	526	356	582	806	182	417
ENSG00000253485	304	335	452	316	503	622	166	386
ENSG00000262209	338	416	549	362	577	742	193	460
ENSG00000253731	393	453	508	343	706	772	177	423
ENSG00000253537	480	499	706	518	903	895	246	633
ENSG00000253953	905	970	976	481	1655	1517	334	535
ENSG00000253767	307	342	469	341	505	629	178	402
ENSG00000276547	589	1010	1402	1103	999	1495	414	1182
ENSG00000261934	306	355	466	317	503	641	173	392
ENSG00000253305	336	348	467	326	525	650	177	409
ENSG00000253846	400	415	486	354	653	760	183	415
ENSG00000254122	326	464	547	355	552	847	200	438
ENSG00000253873	324	488	598	347	541	839	197	408
ENSG00000253159	510	419	1031	642	954	739	335	692
ENSG00000240184	584	805	1208	920	1013	1329	409	979
ENSG00000242419	302	329	435	315	498	619	162	386
ENSG00000240764	321	369	520	376	533	654	172	430
ENSG00000131504	505	661	893	526	700	717	193	424
ENSG00000171720	138	261	361	281	320	341	125	221
ENSG00000164620	6	4	6	5	5	3	4	3
ENSG00000197948	121	177	253	285	216	160	58	204
ENSG00000120318	124	187	209	171	213	132	56	124
ENSG00000156453	201	149	529	174	97	68	39	55
ENSG00000081791	344	378	565	378	475	488	153	333
ENSG00000113555	0	0	1	0	0	0	0	0
ENSG00000013561	454	751	890	572	565	652	207	328
ENSG00000113552	346	711	951	602	736	741	302	670
ENSG00000131507	1720	2210	2676	1774	1723	2331	699	1248
ENSG00000187678	39	52	112	109	168	50	52	163
ENSG00000113578	103	69	167	176	364	143	139	214
ENSG00000145819	126	248	332	88	104	219	60	47
ENSG00000113580	506	603	1010	443	791	896	337	424
ENSG00000158497	0	0	0	0	0	0	0	0
ENSG00000145817	3170	3596	5075	5423	1866	2705	773	1560
ENSG00000183775	209	311	387	289	352	272	106	136
ENSG00000186314	35	33	60	39	56	82	21	33
ENSG00000204928	0	0	0	0	0	0	0	0
ENSG00000156463	60	71	117	130	356	114	103	284
ENSG00000173261	0	0	0	0	0	0	0	0
ENSG00000133706	2465	3753	4706	2231	3331	4515	1207	1676
ENSG00000275740	276	395	534	330	323	418	98	220
ENSG00000091009	309	448	614	367	372	449	107	239
ENSG00000091010	0	0	0	2	0	0	0	1
ENSG00000113649	318	364	493	383	474	553	133	288
ENSG00000173250	0	0	0	0	0	0	0	0
ENSG00000156475	0	0	1	0	0	0	0	0
ENSG00000169302	38	78	58	12	8	23	3	2
ENSG00000113657	18178	28183	24616	16782	10770	16091	2179	5656
ENSG00000176049	0	4	19	6	2	1	6	3
ENSG00000164266	0	4	6	1	6	5	0	1
ENSG00000164265	1	5	8	0	7	3	3	3
ENSG00000178776	4522	4475	5268	3378	4638	3888	929	2126
ENSG00000133710	0	0	0	0	0	0	2	0
ENSG00000196800	0	0	0	0	0	0	0	0
ENSG00000178172	0	0	0	0	0	0	0	0
ENSG00000248109	0	0	0	0	0	0	0	0
ENSG00000214510	0	0	0	0	0	0	0	0
ENSG00000145879	0	0	0	0	0	0	0	0
ENSG00000204909	0	0	0	0	0	0	0	0
ENSG00000145868	544	680	844	566	669	834	216	421
ENSG00000164270	0	0	0	0	0	0	0	0
ENSG00000169252	3	5	4	3	8	13	3	8
ENSG00000169247	12	29	23	17	56	91	22	32
ENSG00000173210	140	164	341	311	336	163	99	219
ENSG00000157510	84	107	153	65	163	119	58	66
ENSG00000164284	402	1346	803	278	315	616	107	122
ENSG00000145882	207	341	303	342	244	329	67	314
ENSG00000127743	0	0	6	0	1	0	0	0
ENSG00000113712	3263	5298	5782	3127	3631	4386	1164	2003
ENSG00000183111	64	124	62	27	167	224	60	49
ENSG00000155846	4	5	8	10	12	11	3	9
ENSG00000132915	4	1	1	2	3	0	0	0
ENSG00000155850	654	1021	1074	695	386	740	121	288
ENSG00000164296	46	60	89	42	47	52	18	31
ENSG00000113716	287	475	525	390	377	351	81	205
ENSG00000182578	8	31	30	20	2	1	0	3
ENSG00000113721	1494	2282	3792	2174	2742	2338	1030	1618
ENSG00000113722	0	2	2	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	0	0	0
ENSG00000070808	1	0	0	6	4	1	0	3
ENSG00000183876	71	22	49	254	122	20	8	146
ENSG00000070814	229	308	329	254	314	397	99	185
ENSG00000019582	3	21	17	14	12	29	3	13
ENSG00000164587	1362	2809	4690	1533	1871	2930	1040	1541
ENSG00000070614	1117	1474	1493	1526	1341	1378	231	775
ENSG00000171992	1187	2167	2227	1680	1308	2555	323	642
ENSG00000164591	2	10	3	1	1	3	0	1
ENSG00000086589	701	1246	1218	676	676	1171	225	326
ENSG00000132912	945	1447	1756	1196	1167	1358	445	886
ENSG00000256235	86	114	158	106	66	111	31	56
ENSG00000237693	0	0	0	0	0	0	0	0
ENSG00000145908	5	14	17	11	17	5	6	4
ENSG00000279109	0	0	0	0	0	0	0	0
ENSG00000211445	64	94	112	116	125	70	24	77
ENSG00000145901	161	247	318	301	399	341	128	406
ENSG00000197043	6021	7933	13072	11510	11621	9033	3632	10316
ENSG00000198624	4	0	5	5	2	1	1	3
ENSG00000196743	483	729	869	753	660	699	347	600
ENSG00000186334	0	0	0	0	0	0	0	0
ENSG00000186335	0	0	0	0	1	0	0	0
ENSG00000123643	130	212	219	234	275	257	83	200
ENSG00000086570	2	2	2	0	5	5	1	3
ENSG00000113140	133389	250793	271591	152839	185809	209537	60779	96889
ENSG00000177556	2032	4587	3909	2423	2609	2824	697	1394
ENSG00000145907	2917	3671	4612	3308	3591	4061	1297	2571
ENSG00000145888	0	0	0	0	0	0	0	0
ENSG00000132911	0	0	0	0	0	0	0	0
ENSG00000155511	0	0	2	0	0	0	0	0
ENSG00000055147	377	660	844	556	521	566	154	323
ENSG00000037749	719	1062	1383	869	799	970	305	558
ENSG00000164574	860	1116	1504	1374	878	977	220	787
ENSG00000164576	15	28	39	26	40	38	17	8
ENSG00000113196	0	0	0	0	0	0	1	0
ENSG00000155506	941	1213	1662	975	1327	1395	466	787
ENSG00000170271	53	87	95	61	124	85	84	101
ENSG00000155508	569	808	897	545	659	736	235	333
ENSG00000082516	318	481	557	306	529	553	160	305
ENSG00000082515	439	645	764	406	487	647	146	295
ENSG00000226650	0	0	0	0	0	2	0	0
ENSG00000170624	1	2	40	7	4	29	30	5
ENSG00000279646	0	0	0	0	0	0	0	0
ENSG00000231989	1	1	1	0	0	1	0	0
ENSG00000145850	0	0	0	0	0	0	0	0
ENSG00000113249	0	0	0	0	0	0	0	0
ENSG00000135077	0	0	0	0	0	0	0	0
ENSG00000155868	195	282	296	171	171	314	74	128
ENSG00000113263	0	0	0	0	0	0	0	0
ENSG00000170613	0	0	0	0	0	0	0	0
ENSG00000055163	46	78	107	12	62	88	35	14
ENSG00000172568	0	0	0	0	0	0	0	0
ENSG00000135074	960	812	1174	2020	529	419	127	667
ENSG00000172548	0	0	0	0	0	0	0	0
ENSG00000039600	0	0	2	2	2	1	0	3
ENSG00000187658	0	0	0	0	0	0	0	0
ENSG00000113272	94	174	187	86	138	116	44	63
ENSG00000155858	50	85	112	52	53	75	13	34
ENSG00000113282	1837	3207	3643	2364	2246	2928	729	1345
ENSG00000164330	36	26	146	69	53	29	68	53
ENSG00000145860	182	188	250	274	238	247	62	169
ENSG00000164332	728	1286	1492	946	1075	1228	350	599
ENSG00000113302	0	0	0	0	0	0	0	0
ENSG00000170214	19	11	61	11	86	41	52	29
ENSG00000113312	890	1355	1530	1146	1202	1510	407	872
ENSG00000170234	171	219	356	182	217	219	81	133
ENSG00000170231	0	0	0	1	0	0	0	0
ENSG00000135083	14	18	12	14	23	17	3	13
ENSG00000145861	2	0	7	0	10	0	0	5
ENSG00000221886	36	76	85	35	39	54	18	21
ENSG00000164609	897	1136	1208	898	897	1231	320	484
ENSG00000164611	16	35	61	19	17	47	27	21
ENSG00000118322	0	0	0	0	0	0	0	0
ENSG00000145864	0	1	3	0	1	0	0	1
ENSG00000145863	0	0	0	0	0	0	0	0
ENSG00000022355	0	0	0	0	0	0	0	2
ENSG00000113327	0	0	0	0	0	0	0	0
ENSG00000113328	1645	2698	3195	1358	1773	3079	778	915
ENSG00000170584	141	229	276	136	198	236	64	77
ENSG00000072571	0	1	4	5	1	1	3	2
ENSG00000038274	510	1075	1141	656	666	854	274	348
ENSG00000145934	381	187	412	1120	1655	446	221	2583
ENSG00000113645	8	3	4	2	15	5	8	14
ENSG00000113643	1441	2021	2943	2036	1708	2377	704	1296
ENSG00000188573	20	22	13	2	4	13	3	2
ENSG00000120137	229	359	442	213	321	349	91	194
ENSG00000184347	1664	3086	4138	1672	3843	3711	1522	2001
ENSG00000040275	144	235	333	187	184	246	62	98
ENSG00000134516	2	2	26	13	3	4	6	15
ENSG00000204767	1	0	3	4	0	1	1	5
ENSG00000168269	0	0	0	0	0	0	0	0
ENSG00000234511	0	3	5	5	0	1	3	0
ENSG00000043462	0	0	1	0	1	0	3	0
ENSG00000182132	0	0	1	0	0	0	0	0
ENSG00000145936	0	0	19	0	0	1	1	1
ENSG00000094755	0	0	0	0	0	0	0	0
ENSG00000204764	31	4	66	63	33	1	15	52
ENSG00000275038	0	0	0	0	0	0	0	0
ENSG00000164438	0	0	0	0	0	0	0	0
ENSG00000181163	386	538	833	323	481	924	126	349
ENSG00000156427	0	1	2	0	1	1	0	0
ENSG00000185662	0	0	0	0	0	0	0	0
ENSG00000072803	528	887	935	654	1021	851	267	503
ENSG00000072786	336	279	631	420	551	381	158	378
ENSG00000214360	0	0	0	0	0	0	0	0
ENSG00000168246	115	160	223	81	101	131	34	47
ENSG00000174705	320	452	803	601	801	664	281	670
ENSG00000214357	2	0	0	0	0	0	1	0
ENSG00000120129	3320	3951	6598	4497	8043	6132	2793	5583
ENSG00000113719	1283	1681	2427	2502	2278	2139	954	2370
ENSG00000037241	97	106	126	91	104	114	33	74
ENSG00000113732	4618	3878	5364	5091	3877	4959	1659	3978
ENSG00000164463	253	383	454	264	333	377	139	168
ENSG00000113734	98	155	233	158	136	152	70	97
ENSG00000183072	0	0	0	0	0	0	0	0
ENSG00000113739	7435	25939	30037	12531	11973	22963	6531	10875
ENSG00000145919	102	158	241	87	137	211	61	70
ENSG00000113742	126	197	292	167	201	224	61	129
ENSG00000185056	0	0	0	0	0	0	0	0
ENSG00000170091	0	0	0	0	0	0	0	0
ENSG00000120149	20	19	14	6	23	8	4	7
ENSG00000184845	1	0	7	0	0	0	1	0
ENSG00000164466	621	945	1225	722	645	863	279	402
ENSG00000113749	0	0	0	0	0	0	0	0
ENSG00000145920	0	0	0	0	0	0	0	0
ENSG00000051596	13	43	46	27	25	46	10	34
ENSG00000182230	0	0	0	0	0	0	0	0
ENSG00000170085	35	55	54	24	49	53	27	26
ENSG00000122203	258	255	338	267	351	318	117	205
ENSG00000175414	25	35	56	26	46	30	13	18
ENSG00000048162	309	580	708	339	495	521	151	330
ENSG00000146066	199	288	442	257	274	317	95	201
ENSG00000175416	615	889	1260	1117	1035	774	306	857
ENSG00000113194	664	818	1200	757	721	948	244	498
ENSG00000146083	49	93	78	94	103	97	28	48
ENSG00000074276	0	0	1	0	1	0	0	0
ENSG00000169258	9	11	25	33	15	9	7	18
ENSG00000074317	0	0	0	0	2	0	0	0
ENSG00000175766	0	0	0	0	0	0	0	0
ENSG00000048140	34	48	72	54	48	36	31	39
ENSG00000113763	0	0	0	3	0	0	0	0
ENSG00000160883	0	0	0	0	0	0	0	0
ENSG00000087206	142	201	221	143	154	223	75	79
ENSG00000113761	141	177	184	104	148	202	62	87
ENSG00000160867	5	8	9	7	7	6	3	4
ENSG00000165671	429	594	660	352	417	526	152	206
ENSG00000169228	97	179	273	131	146	126	69	107
ENSG00000213347	4	8	5	3	13	7	7	7
ENSG00000169230	104	150	307	213	175	129	69	117
ENSG00000169223	1541	2315	3279	2158	2236	2263	896	2110
ENSG00000169220	9	6	8	7	11	3	0	11
ENSG00000131183	0	0	0	0	0	0	0	0
ENSG00000196570	0	0	0	0	0	0	0	0
ENSG00000131187	9	13	4	6	9	10	1	3
ENSG00000198055	36	30	61	25	75	35	24	28
ENSG00000131188	6	15	11	8	9	12	7	8
ENSG00000113758	1226	2066	2735	2549	1946	2065	698	2560
ENSG00000196923	2634	3116	5227	3849	3232	2468	917	2473
ENSG00000146094	0	0	0	0	0	0	1	1
ENSG00000183258	325	442	639	581	491	416	207	452
ENSG00000146067	47	83	88	62	81	95	28	67
ENSG00000184840	5483	10132	12315	10018	8546	8237	2710	7471
ENSG00000027847	239	382	562	611	335	304	98	442
ENSG00000170074	0	0	0	0	0	0	0	0
ENSG00000175325	0	0	0	0	0	0	0	0
ENSG00000204677	0	0	0	0	0	0	0	0
ENSG00000145911	0	0	1	1	0	1	0	2
ENSG00000145916	76	60	134	86	120	68	42	70
ENSG00000145912	312	627	580	472	501	550	188	340
ENSG00000197451	1537	2493	3394	1925	1790	2091	527	1129
ENSG00000175309	91	149	157	94	159	121	44	87
ENSG00000050767	0	6	0	0	0	5	0	0
ENSG00000113240	139	318	261	183	180	258	40	73
ENSG00000169131	179	300	236	132	156	303	38	70
ENSG00000178338	65	51	56	22	37	69	5	18
ENSG00000198939	4	4	6	2	7	6	4	1
ENSG00000178187	2	2	11	0	2	3	1	4
ENSG00000113262	0	4	2	0	2	0	0	0
ENSG00000234284	47	43	41	29	18	45	15	12
ENSG00000177932	128	135	138	76	90	131	44	42
ENSG00000087116	447	261	969	285	663	283	230	259
ENSG00000176783	581	906	1209	749	754	885	256	505
ENSG00000169045	1096	1549	2286	1512	1277	1623	503	965
ENSG00000204659	0	0	1	0	3	2	0	0
ENSG00000127022	15399	17506	24991	17867	18624	20046	6517	12575
ENSG00000161021	138	191	249	153	201	186	60	85
ENSG00000213316	28	54	159	66	41	37	42	21
ENSG00000161013	387	503	737	696	715	547	272	575
ENSG00000161011	7930	15100	24402	19554	13637	13276	5511	15195
ENSG00000161010	64	69	90	43	80	91	18	34
ENSG00000197226	462	680	934	789	790	625	277	576
ENSG00000113269	129	158	260	159	214	217	106	142
ENSG00000146090	0	0	0	0	0	0	0	0
ENSG00000050748	209	327	391	216	251	282	98	134
ENSG00000131459	218	507	1022	357	404	627	332	203
ENSG00000113300	55	74	94	68	64	96	15	39
ENSG00000161055	0	0	0	0	0	0	0	0
ENSG00000037280	1	0	0	0	2	1	0	1
ENSG00000174339	0	0	0	0	0	0	0	0
ENSG00000131446	1004	1258	1622	1438	1315	1442	433	1264
ENSG00000196670	39	71	72	44	68	67	19	23
ENSG00000113303	0	0	0	0	0	0	0	0
ENSG00000168903	0	0	0	0	0	0	0	0
ENSG00000165810	0	0	0	0	1	0	0	0
ENSG00000185372	0	0	0	0	0	0	0	0
ENSG00000182613	0	0	0	0	0	0	0	0
ENSG00000146054	0	8	3	3	2	2	2	2
ENSG00000146063	45	87	85	85	95	82	32	66
ENSG00000204628	7744	13097	19328	8158	13476	15772	5012	8301
ENSG00000183718	14	13	21	25	19	17	10	11
ENSG00000230178	0	0	0	0	0	0	0	0
ENSG00000112679	131	298	283	186	170	194	62	124
ENSG00000137265	0	0	0	0	0	0	0	0
ENSG00000112685	593	782	915	675	777	809	232	537
ENSG00000188996	0	0	0	0	0	1	0	0
ENSG00000164379	0	1	2	0	0	0	0	0
ENSG00000137273	12	0	14	8	16	0	3	11
ENSG00000054598	194	212	252	103	321	239	112	114
ENSG00000112699	171	180	313	181	327	277	138	221
ENSG00000145949	2	1	2	0	4	3	1	3
ENSG00000124535	268	425	499	321	580	439	162	294
ENSG00000021355	183	276	391	267	286	319	124	229
ENSG00000170542	38	83	70	25	183	229	52	41
ENSG00000124570	1608	2622	3783	5065	1485	1922	462	817
ENSG00000124588	55	179	377	42	66	225	118	35
ENSG00000137275	403	698	856	510	557	626	201	366
ENSG00000137274	64	115	146	64	65	126	32	55
ENSG00000137267	138	272	366	321	287	276	111	355
ENSG00000137285	2	6	1	1	4	8	5	3
ENSG00000180822	70	65	138	64	120	109	34	55
ENSG00000137266	218	474	590	213	348	382	125	300
ENSG00000168994	1648	1924	2501	1465	1444	1433	295	696
ENSG00000145945	149	67	270	185	204	74	48	148
ENSG00000112739	562	762	942	562	830	947	229	415
ENSG00000145975	0	0	0	0	0	0	0	0
ENSG00000185689	0	0	0	0	0	0	0	0
ENSG00000198721	647	961	1016	692	908	1277	354	590
ENSG00000153046	270	528	573	266	322	434	119	160
ENSG00000124787	146	182	198	70	128	212	56	67
ENSG00000219607	10	0	7	10	7	4	2	16
ENSG00000214113	250	499	542	309	385	501	167	200
ENSG00000145982	65	167	166	128	145	139	54	96
